Code,Prijs,Adres,Stad,Type,Bouwjaar,EPC,Woonopp.,Slaapkamers,Badkamers,Grondopp.,Bebouwing,Garages,Tuin,Dagen,Link,Handelsopp.,First,Last,Scraped
KCURC,345000.0, Straatnietgekend ,, Appartement ,1993,286 k Wh / m Â²,220.0,4,2.0,892.0, gesloten ,1.0, N W ,16.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KCURC,,2023-09-20,,2023-10-06
KCNEI,459000.0, Kleistraat 38,9320 Erembodegem , Gemengdgebruik ( Huis ), opaanvraag Â»,184 k Wh / m Â²,561.0,3,1.0,605.0, open ,1.0, N W ,56.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KCNEI,,2023-08-11,,2023-10-06
KBQ9E,195000.0, Brusselbaan 78/3,9320 Erembodegem , Appartement , opaanvraag Â»,168 k Wh / m Â²,92.0,2,1.0,605.0, open ,1.0, N W ,40.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KBQ9E,,2023-08-27,,2023-10-06
KBLU7,115000.0, Dotterbloemstraat ,9320 Erembodegem , Bouwgrond ( Grond ), opaanvraag Â»,168 k Wh / m Â²,92.0,2,1.0,175.0, open ,1.0, N W ,22.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KBLU7,,2023-09-14,,2023-10-06
KBLD1,526283.0, Straatnietgekend ,, Woning ( Huis ), opaanvraag Â»,0 k Wh / m Â²,205.0,3,1.0,380.0, halfopen ,1.0, N W ,17.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KBLD1,,2023-09-19,,2023-10-06
KB1I9,309750.0, Hogeweg 130-132,9320 Erembodegem , Appartement ,2022,0 k Wh / m Â²,83.0,2,1.0,380.0, halfopen ,1.0, Z ,24.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KB1I9,,2023-09-12,,2023-10-06
KA69C,199000.0, Geraardsbergsesteenweg 152,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,486 k Wh / m Â²,135.0,1,1.0,320.0, halfopen ,1.0, Z ,88.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KA69C,,2023-07-10,,2023-10-06
KA69E,245000.0, Heuvel 55,9320 Erembodegem , Woning ( Huis ), opaanvraag Â»,349 k Wh / m Â²,165.0,5,1.0,375.0, gesloten ,1.0, Z ,324.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KA69E,,2022-11-16,,2023-10-06
K9MCI,257000.0, Ninovesteenweg 218,9320 Erembodegem , Appartement ,2022,0 k Wh / m Â²,,2,1.0,375.0, gesloten ,1.0, Z ,12.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/K9MCI,,2023-09-24,,2023-10-06
K9MCH,280250.0, Ninovesteenweg 218/22,9320 Erembodegem , Appartement ,2022,0 k Wh / m Â²,95.0,3,1.0,375.0, gesloten ,1.0, Z ,17.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/K9MCH,,2023-09-19,,2023-10-06
JXLVW,174000.0, I Jzerenwegstraat 25 A ,9320 Erembodegem , Atelier ( Bedrijfsvastgoed ),1967, Inaanvraag ,173.0,3,1.0,211.0, opaanvraag Â»,1.0, Z ,51.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/bedrijfsvastgoed/JXLVW, opaanvraag Â»,2023-08-16,,2023-10-06
JXLVV,174000.0, I Jzerenwegstraat 25 A ,9320 Erembodegem , Woning ( Huis ),1967, Inaanvraag ,137.0, opaanvraag Â»,1.0,211.0, gesloten ,1.0, Z ,281.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/JXLVV, opaanvraag Â»,2022-12-29,,2023-10-06
